dataset,method,metric,comparator,mean_diff,median_diff,ci_lower,ci_upper,wins,losses,ties,n_folds,wilcoxon_stat,wilcoxon_p
adamson,frozen_backbone_trainable_head,mse,minus,-0.06673731803894038,-0.06441158056259155,-0.12088079452514644,-0.017093420028686503,1,4,0,5,1.0,0.125
adamson,frozen_backbone_trainable_head,mse,scGPT_human,-0.03427169322967525,-0.08685702085494995,-0.108460533618927,0.08791967630386366,1,4,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,mse,v4_bias_rec_best,0.017280185222625775,0.030134201049804688,-0.042139720916748,0.06526638269424442,4,1,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,mse,v4_plain_best,0.040237820148468065,0.024645209312438965,-0.027374017238616943,0.12954638004302993,4,1,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,mse,v4_type_pe_best,-0.0007868528366089089,0.007429242134094238,-0.038122034072875996,0.03604998588562007,3,2,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,pearson_r,minus,-0.005528324767947198,-0.004042698442935894,-0.035430651754140854,0.02437400221824646,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,pearson_r,scGPT_human,0.004615260238448801,0.014804268876711504,-0.03620642354091007,0.04543694401780767,3,2,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,pearson_r,v4_bias_rec_best,-0.05491669490933417,-0.02820171353717639,-0.10627981168528396,-0.0035535781333843526,1,4,0,5,2.0,0.1875
adamson,frozen_backbone_trainable_head,pearson_r,v4_plain_best,0.033125243832667656,-0.024061894665161704,-0.032672300438086194,0.10966137508551273,2,3,0,5,6.0,0.8125
adamson,frozen_backbone_trainable_head,pearson_r,v4_type_pe_best,-0.0013968985031048513,-0.0068452234069506235,-0.02777119378248854,0.027524613787730558,2,3,0,5,7.0,1.0
adamson,frozen_backbone_trainable_head,sign_acc,minus,0.005520833333333352,0.004427083333333304,-0.005677083333333321,0.016718750000000025,3,2,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,sign_acc,scGPT_human,0.017552083333333312,0.028125000000000067,-0.002031250000000062,0.03489583333333333,4,1,0,5,2.0,0.1875
adamson,frozen_backbone_trainable_head,sign_acc,v4_bias_rec_best,-0.013749999999999995,-0.008333333333333304,-0.04510416666666668,0.017604166666666688,2,3,0,5,5.0,0.625
adamson,frozen_backbone_trainable_head,sign_acc,v4_plain_best,0.019322916666666655,0.013802083333333326,-0.00588541666666671,0.04453125000000002,3,2,0,5,4.0,0.4375
adamson,frozen_backbone_trainable_head,sign_acc,v4_type_pe_best,0.003802083333333317,-0.0015625000000000222,-0.01468750000000003,0.026406249999999985,2,3,0,5,7.0,1.0
norman,frozen_backbone_trainable_head,mse,minus,0.11362967491149896,0.15588021278381314,0.020642662048339755,0.202076768875122,4,1,0,5,2.0,0.1875
norman,frozen_backbone_trainable_head,mse,scGPT_human,-0.019823336601257346,-0.04478484392166149,-0.0845051884651185,0.06129620075225826,1,4,0,5,5.0,0.625
norman,frozen_backbone_trainable_head,mse,v4_bias_rec_best,0.08483633995056153,0.08933889865875266,0.017758727073669302,0.14538533687591562,4,1,0,5,1.0,0.125
norman,frozen_backbone_trainable_head,mse,v4_plain_best,0.05288383960723879,0.05101299285888694,-0.01670167446136477,0.13171482086181638,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,mse,v4_type_pe_best,0.10257135629653932,0.04724913835525513,0.0035280346870422362,0.22580938339233403,4,1,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,pearson_r,minus,0.09669983485713596,0.0771911066956818,0.02732929009944196,0.18506931662559506,4,1,0,5,1.0,0.125
norman,frozen_backbone_trainable_head,pearson_r,scGPT_human,0.05590929880738258,0.0439988461323082,-0.01640160942450164,0.13168486595153808,3,2,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,pearson_r,v4_bias_rec_best,0.019697876479476677,0.0444811437278986,-0.0655472621135414,0.10003782678395509,3,2,0,5,6.0,0.8125
norman,frozen_backbone_trainable_head,pearson_r,v4_plain_best,0.031681779352948074,0.041345364507287694,-0.019215556262060986,0.07880283238366245,3,2,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,pearson_r,v4_type_pe_best,0.04830845447257158,0.0389855327084659,-0.009906714707613024,0.10836826194077731,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,sign_acc,minus,0.03449218750000001,0.0263671875,0.004570312500000018,0.0734375,3,2,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,sign_acc,scGPT_human,0.023906249999999997,0.019726562500000044,-0.014726562499999995,0.06253906249999999,3,2,0,5,4.0,0.4375
norman,frozen_backbone_trainable_head,sign_acc,v4_bias_rec_best,0.0013671874999999889,0.009375000000000022,-0.03500000000000001,0.03773437499999999,3,2,0,5,7.0,1.0
norman,frozen_backbone_trainable_head,sign_acc,v4_plain_best,0.0134765625,0.009765625,-0.009257812499999952,0.03574218749999995,4,1,0,5,3.0,0.3125
norman,frozen_backbone_trainable_head,sign_acc,v4_type_pe_best,0.02105468749999998,0.025976562500000022,-0.007148437500000026,0.049257812499999984,3,2,0,5,3.0,0.3125
adamson,frozen_linear,mse,minus,-0.06672078371047965,-0.06121784448623657,-0.11167742013931256,-0.021764147281646728,1,4,0,5,1.0,0.125
adamson,frozen_linear,mse,scGPT_human,-0.25769842863082876,-0.3069643974304199,-0.3536632776260376,-0.1432137489318845,0,5,0,5,0.0,0.0625
adamson,frozen_linear,mse,v4_bias_rec_best,0.19679514169693008,0.19028365612030052,0.12162852287292485,0.2719617605209353,5,0,0,5,0.0,0.0625
adamson,frozen_linear,mse,v4_plain_best,0.09759683609008792,0.12494075298309326,0.03563036918640139,0.15700962543487548,5,0,0,5,0.0,0.0625
adamson,frozen_linear,mse,v4_type_pe_best,0.02131507396697998,-0.030631303787231667,-0.0612531185150146,0.10956439971923833,2,3,0,5,6.0,0.8125
adamson,frozen_linear,pearson_r,minus,-0.019449242030580818,-0.0007041183610757007,-0.04495378471910953,0.0016986866543690637,1,4,0,5,3.0,0.3125
adamson,frozen_linear,pearson_r,scGPT_human,-0.06068765272696815,-0.0378159530460834,-0.09981617689132696,-0.02345440626144408,0,5,0,5,0.0,0.0625
adamson,frozen_linear,pearson_r,v4_bias_rec_best,-0.07558555354674655,-0.0578795189658801,-0.11987083832422891,-0.033081098596254944,0,5,0,5,0.0,0.0625
adamson,frozen_linear,pearson_r,v4_plain_best,0.0008867962161699771,-0.034968105082710504,-0.0711300974339247,0.08557480223476882,2,3,0,5,7.0,1.0
adamson,frozen_linear,pearson_r,v4_type_pe_best,-0.008471063884596041,-0.0558570362627506,-0.0705291793247064,0.05358705155551432,2,3,0,5,7.0,1.0
adamson,frozen_linear,sign_acc,minus,0.0008854166666666608,-0.00520833333333337,-0.012499999999999978,0.015937499999999983,2,3,0,5,7.0,1.0
adamson,frozen_linear,sign_acc,scGPT_human,-0.010677083333333327,-0.006249999999999978,-0.027187499999999986,0.0058333333333333345,2,3,0,5,5.0,0.625
adamson,frozen_linear,sign_acc,v4_bias_rec_best,-0.024427083333333342,-0.027864583333333304,-0.0533854166666667,0.004531250000000009,2,3,0,5,3.0,0.3125
adamson,frozen_linear,sign_acc,v4_plain_best,0.008802083333333332,0.008072916666666652,-0.0234375,0.03739583333333335,3,2,0,5,5.0,0.625
adamson,frozen_linear,sign_acc,v4_type_pe_best,-0.0036458333333333703,-0.029166666666666674,-0.03187500000000003,0.027395833333333307,2,3,0,5,7.0,1.0
dixit,frozen_linear,mse,minus,-0.05666242039909488,0.0265494957566261,-0.5760540204220697,0.32655289975779234,10,9,0,19,85.0,0.70855712890625
dixit,frozen_linear,mse,scGPT_human,-0.04724103526065228,0.0407494083046913,-0.43736322763326924,0.29587420759428484,11,8,0,19,88.0,0.7982521057128906
dixit,frozen_linear,mse,v4_bias_rec_best,-0.2870405530066867,-0.06958988308906561,-0.6910677329784162,0.02796549268164911,8,11,0,19,68.0,0.2934989929199219
dixit,frozen_linear,mse,v4_plain_best,-0.027969544263262522,-0.0178318060934544,-0.24799310671361655,0.19643629623675035,8,11,0,19,86.0,0.7380905151367188
dixit,frozen_linear,mse,v4_type_pe_best,0.11696809177335944,0.0847274512052536,-0.15834949509681837,0.40337334967365396,12,7,0,19,74.0,0.4180412292480469
dixit,frozen_linear,pearson_r,minus,0.12078288903361875,0.002159118652343861,-0.22416572053181497,0.4814123034477234,13,6,0,19,67.0,0.2753410339355469
dixit,frozen_linear,pearson_r,scGPT_human,0.13243627783499265,0.0015333294868468128,-0.1320465325524932,0.47921179587903745,11,8,0,19,77.0,0.48996734619140625
dixit,frozen_linear,pearson_r,v4_bias_rec_best,-0.18068931075303177,-0.0007681846618651234,-0.3759465221854809,-0.011519818635363353,8,11,0,19,71.0,0.3524589538574219
dixit,frozen_linear,pearson_r,v4_plain_best,0.022462935039871623,0.0001090168952944115,-0.2908801772092518,0.3408055209211613,10,9,0,19,78.0,0.5152778625488281
dixit,frozen_linear,pearson_r,v4_type_pe_best,0.13139791786670682,0.003397643566131592,-0.12832371702319695,0.4720325041758385,13,6,0,19,52.0,0.08742904663085938
dixit,frozen_linear,sign_acc,minus,0.06435032894736842,0.0,-0.11205283717105263,0.2506167763157895,3,4,12,19,13.0,0.8657723749926214
dixit,frozen_linear,sign_acc,scGPT_human,0.06743421052631579,0.0,-0.06743421052631579,0.24753803453947362,2,3,14,19,6.0,0.6858304344516057
dixit,frozen_linear,sign_acc,v4_bias_rec_best,-0.09930098684210527,0.0,-0.2060032894736842,-0.0092465049342106,4,6,9,19,13.5,0.1533092238491398
dixit,frozen_linear,sign_acc,v4_plain_best,0.011101973684210526,0.0,-0.15213815789473684,0.1747584292763157,3,3,13,19,9.5,0.8334840043889592
dixit,frozen_linear,sign_acc,v4_type_pe_best,0.06599506578947369,0.0,-0.06722861842105263,0.24527652138157888,3,3,13,19,8.5,0.6741416549927048
norman,frozen_linear,mse,minus,0.18219370841979984,0.19012737274169922,0.06516170501708993,0.3036921501159668,5,0,0,5,0.0,0.0625
norman,frozen_linear,mse,scGPT_human,-0.3338485836982727,-0.35619616508483887,-0.42516111135482787,-0.2106597304344177,0,5,0,5,0.0,0.0625
norman,frozen_linear,mse,v4_bias_rec_best,0.39701478481292723,0.47168540954589844,0.3015298366546631,0.48808608055114744,5,0,0,5,0.0,0.0625
norman,frozen_linear,mse,v4_plain_best,0.026300811767578126,-0.010828375816345215,-0.07798449993133545,0.14613564014434816,2,3,0,5,7.0,1.0
norman,frozen_linear,mse,v4_type_pe_best,0.1998322963714599,0.1342676877975464,0.015317988395690785,0.41686191558837893,4,1,0,5,2.0,0.1875
norman,frozen_linear,pearson_r,minus,0.05253199020400642,0.0327556337229908,-0.00493443401530384,0.1374837588518857,3,2,0,5,3.0,0.3125
norman,frozen_linear,pearson_r,scGPT_human,0.001399457184597861,-0.0222575914580375,-0.0494983931351453,0.06468726152554156,2,3,0,5,6.0,0.8125
norman,frozen_linear,pearson_r,v4_bias_rec_best,0.043545760791748746,0.0674319880083204,-0.044262990038841994,0.11472718067467211,4,1,0,5,4.0,0.4375
norman,frozen_linear,pearson_r,v4_plain_best,0.01717119741719218,-0.0030341332778334035,-0.032973719546571356,0.06794302599038929,2,3,0,5,6.0,0.8125
norman,frozen_linear,pearson_r,v4_type_pe_best,0.059495101124048225,0.0677827762439846,-0.010841104239225356,0.1298313064873218,3,2,0,5,3.0,0.3125
norman,frozen_linear,sign_acc,minus,0.015703125000000005,0.006054687500000044,-0.015976562500000013,0.0582421875,4,1,0,5,4.0,0.4375
norman,frozen_linear,sign_acc,scGPT_human,-0.0038281250000000043,-0.0078125,-0.03257812500000001,0.02425781250000001,2,3,0,5,6.0,0.8125
norman,frozen_linear,sign_acc,v4_bias_rec_best,0.010468750000000004,0.0234375,-0.02511718749999998,0.04078124999999999,3,2,0,5,6.0,0.8125
norman,frozen_linear,sign_acc,v4_plain_best,0.005195312499999993,0.004296874999999978,-0.01304687499999999,0.022890624999999977,3,2,0,5,6.0,0.8125
norman,frozen_linear,sign_acc,v4_type_pe_best,0.02156250000000002,0.03652343750000003,-0.008398437499999967,0.051523437500000005,3,2,0,5,3.0,0.3125
